341,342,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,344,345,
23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,
45,46,309,310,309,310,309,310,309,310,309,310,309,310,309,310,309,310,63,64,65,66,
67,68,331,332,331,332,331,332,331,332,331,332,331,332,331,332,331,332,85,86,87,88,
89,90,309,310,315,316,309,310,97,98,309,310,101,102,317,318,309,310,107,108,109,110,
111,112,331,332,337,338,331,332,119,120,331,332,123,124,339,340,331,332,129,130,131,132,
133,134,311,312,137,138,139,140,309,310,309,310,309,310,309,310,309,310,309,310,153,154,
155,156,333,334,159,160,161,162,331,332,331,332,331,332,331,332,331,332,331,332,175,176,
177,178,313,314,309,310,309,310,309,310,315,316,309,310,191,192,309,310,195,196,197,198,
199,200,335,336,331,332,331,332,331,332,337,338,331,332,213,214,331,332,217,218,219,220,
221,222,223,224,309,310,227,228,309,310,309,310,309,310,309,310,309,310,309,310,241,242,
243,244,245,246,331,332,249,250,331,332,331,332,331,332,331,332,331,332,331,332,263,264,
341,342,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,344,345,
287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308
